πατρίδα,οξρζτρίδα,ωπ;γρίοδα,πτακυείδα,παγστδθδα,επατρκσλα
σήκω,χεξκτω,σικθμω,χσήγοψ,πσήκοδ,θισήκγ
σκηνή,ρδιηζνή,χσμβνεή,σρκχβηή,οσκηξηγ,σκηπθν6
σορός,δθιδρός,σκ4όμρς,ωωσοφλς,ασφορπ2,σχσορόδ
στίχος,χρςφίχος,τσρ9χογς,εστφοδος,υστίζιβς,στίχλτα3
στήλη,δβ5ήκλη,σγχμνλη,στωνπχη,τηστήοξ,ξστυήλη
τείχος,υ4ίτχρος,τδ9τχοος,τεν9δχος,τεβίψζ0ς,τεκίωχι2
τόπι,6ιπεψι,ωτπσλι,στόλθξ,ζτζόπ9,μτρόπη
τύχη,ξ5νηχη,τ7ζψλη,ντνύδξ,τύθχσ7,οτύχργ
τυρί,ο6ετρί,θψτ7εί,τυσοε8,τδυιρθ,τυυροι
φύλλο,αδτλσλο,φθ΄λωχο,ωφύ.πθο,φχύλ΄οκ,φύλλλβλ
φυτό,τγηττό,ψσφθ5ό,γφυρδπ,φυνιτπ,φυιθτκ
φυλή,ρζγλπή,φθκρεή,θφρυ.ξ,φσυλπυ,βφξυλι
χήρος,σθρδρος,χκν5ομς,χήθκ5κς,χήλρζλα,χκξήροζ
χορικός,δ9ριψικός,χκζδικδός,χοθε9κόσς,πχονρκλός,χζοριυοκς
ψηλός,φκωθλός,νψγοόρς,ψη΄ζεπς,γψηλλχ3,λψηλόθδ
χοίρων,σιίρμωκν,χ9κθμρων,χο8φηωζν,σχοίφφφν,χοίπρφαξ
ωράριο,κφδάρωιο,ωε4λςριο,ωρχστιπο,ωδψράε8ο,ωράμβρο0
Ααρών,΅σδκρών,Αθςφδών,κΑοαεγν,Ααηφργη,ιΑαρώβν
Βελισσάριος,Ν3ηλισσάριζος,Βδω΄ισσχάριος,Βεπαοζσσάριος,Βελθζσάριτχος,Βελιδηεάριξος
Εύδημος,θΡηδημηος,Εεθχημσος,βΕύψυμζος,Εκύδγννος,Επύπδηκ0ς
Κανέλος,Λσνμέλοπς,Κζβέπλλος,Καδησληος,Κυανγροος,βγΚανέ΄0ς
Νικόλαος,Βυκκόλξαος,Ν8ισόλαοκς,Νιμιλαζοις,Νιοκψκ΄αος,Νιδκόπζολς
Ρωμύλος,ιΦδγμύλος,Ργξδύλονς,Ρωξηηλγος,θΡωμζγ΄ος,Ρωμύκκθ9ς
Φωτάς,Τεβτμάς,σΦγ5χάς,Φσωρ;σς,Φωπτξσ2,Φλωτάθε
Αγάθη,Ζυάτψθη,Αηισθψη,Αυγζουη,βΑγάι7θ,Αλαγάθμ
Γιαννιώ,Ωξανχνιωώ,Γξσννγφιώ,Γι;νληνιώ,Γιαβκηιξώ,Γσιανξκφώ
Θεονίκη,φΙμ4ονίκη,Θδ0νίροκη,Θευκιξίκη,υΘεοξθ8κη,Θεοωσνκιη
Μαρκέλλα,Κσθρκέλπλα,ψΜζδκέλψλα,Μασεξέλλλα,νΜαρεμςλλα,Μβαθρκςολα
Ρούλα,Δ9ψιύλα,Ρλδδ7λα,Ροιθηκα,ωΡού.τζ,Ρλλούλσ
