πατρίδα,οζτλυηρίδα,π;γρρίβδρα,παευιείδηα,πατλιδθσδα,πνανοτρκσα
Κρητικός,ωΛεηβτιικός,Κ4ξστωικόις,ννΚργρικόλς,Κκρηυοκσκός,Κρητζξξσφός
κινώ,λτφεθνώ,κ8οηηρώ,χλκιγηβ,κπιπονδ,κκινχου
λήμμα,πξμμθωμα,υλθνυγμα,λθδοήκνα,λήδμξφκ;,χλήζμμζ1
λιμός,΄8μκιόλς,λ9δκόαγς,λινπχηλς,λβιμ0ζασ,λιμιόσπ1
λήθη,τ.ρλυθη,λχδββυη,κλωήιθυ,λιήηλθη,λεσκήθξ
λίπη,κοθππχη,ρλμκ΄ιη,υλψίβ-υ,χλαυίπθ,αλακίπν
λίρα,οοβολρα,λλ9φωυα,λεεί5κ;,ξσλίρξσ,λπτίιρα
μέλι,ξπςμλφι,μ4χηικι,ξμοέ΄φο,μλφξέλλ,μτμέκλξ
μέρη,ρνρβρεη,εμησ4δη,μέηντδν,μέρρξρ8,θμεξέρη
Μήλος,ο<βνλαος,Μυγγτκος,Μήεβκξ0ς,σΜήθθλ0ε,Μήιβλλοα
μήτρα,νλξγτηρα,μωργκγρα,μήυττξγα,μήψτ4ιγσ,μήδφταρα
μοιχός,ξξπβγιχός,ρμικκχόος,μουξδόγξς,ζμοιιζγ0ς,ψμοκιχο03
μηλιά,ξξωλγαιά,μοπβ.ιρά,μρσθη.8ά,ιμηλκυθσ,μηθπλιψχ
νίκη,ομζυοκη,φνεκκμη,νίικτθθ,νίνξζκθ,φεανίκτ
νότα,γηρ9τωα,ονσιφυα,νόεασγσ,ηνότκοε,λνότγησ
ξηρός,θυγρόμσς,δκξγεεός,ζμξηρδλς,ξηρφι9ο;,ξηρβόγαχ
όμως,0κωτεζς,σεφόνγς,υοόμψτε,όμγτωξ;,όζμωιε4
όρος,ξξλυτος,δόξτλθς,αθόκρπ3,θξόροχζ,ιόβρποα
πάλι,γω-ζβλι,πθφσκφι,φλπνάπθ,ηπμάρλθ,λωκπάλ8
πήρα,ζ΄θγβρα,ψπζεβ5α,πωήιφ5ς,πήλρμμ2,βσπήρδ;
πυθών,λτθψχδών,μβπηιωών,ηπυχρ8ψν,πβυυθφζξ,επυγθώθβ
πολύ,ιπ-λ9λύ,δσπεπκύ,ποκροα6,πβονψλη,γποπλθυ
πιάνο,ξβλ9άχνο,οβππκςνο,ηπιισηξο,πυιπνάξπ,μχπιάπνξ
ποιά,λλλξκιά,πκ9βξωά,πφεομ8ς,ζζπξοι1,λποειτχ
παράλειψη,ονκζρχάλειψη,θπ;τάαλεμιψη,πααφ5ζλβειψη,παρκςκοειψκη,επαμρτάπσιψη
ρήμα,ξσ4νθμα,ρνθθναα,ψηωρήκς,πρψρήμσ,ξρήωμοα
σατυρικός,δχφζτυσρικός,σσφυαρφικρός,σαυ6ρηβικκός,σατθτα5ιικός,γδσατυφεκκός
σήκω,ρεξκαγω,εσθβιμω,τσήυοφψ,ωχσήσκδ,σχήκονγ
σκηνή,ηξδιηννή,οσβμδβνή,σκθβηυυή,θσικηξσγ,σκτληιν6
σορός,ψηδιρόης,σκκ4όζλς,σοντφψλς,εσοψρπξ2,ρσνψορόδ
στίχος,σςφρίχοβς,φσρ9χοχσς,στζμξοδος,ιστοωίζις,πξστίηχλ3
στήλη,ξδ5υήλδη,ωσωιγνλη,στομνπνη,στήψψμοξ,στδήλζμη
τείχος,γρυ4ίχοζς,οτξδ9χψος,θτε9δχοθς,τζτείζ0γς,τπεοίχνι2
τόπι,6ιψηπρι,ιτωπλζι,ρτκόλπξ,κτιόππ9,ττοόεπη
τύχη,5γητχχη,μτο7ζυη,τκούξδξ,συτύφχ7,τζύπσχγ
τυρί,τ6τκρμί,υτθ7χεί,ωτγμυε8,τησυρπθ,υτυθρσι
φύλλο,δλτυλλκο,ιεφθ΄λρο,φξφύ.πκο,ψφύλνμ΄κ,φυύλλελλ
φυτό,τσβττιό,φθ5ωφαό,κφθυρχπ,ψφυοτδπ,φσυχιτκ
φυλή,ργενλσή,φθθδκζή,φβκχυ.ξ,φυυακλυ,φυλδβρι
χήρος,δσθσθρος,χννψζ5ος,χτξή5κες,ιπχήδρλα,ρχχλήροζ
χορικός,σδ9σριγκός,ημχπκδικός,χποεε9ακός,χυοζρκλβός,υχτοριοκας
ψηλός,ωθωγλεός,βψκγηοός,γψβη΄πχς,ηθψηψλλ3,ψηλτόσλδ
χοίρων,νασιίρζων,χ9υθρνκων,αβρχο8φων,χοίθφχφσν,χζοαίρρφξ
ωράριο,φδφάιπριο,ω4ςρζιφνο,γωρσσμτιο,ωνράευο8ο,γωράλφρο0
Ααρών,΅μρσηρών,θΑςψωφών,ωκΑαεργν,Ααρφβογη,Απααχρών
Βελισσάριος,Νρ3λισστάριζος,Βδ΄ψυιζσσάριος,ηΒεποσσάωριορς,Βελθζζχσάρινος,Βεληιδεαιάριος
Εύδημος,Ρηδλφηζμος,μΕθοθχημος,Εθύψευμρος,Εβζύδγινος,Εύμζδηοκ0ς
Κανέλος,δΛξσννέλος,Κζβψξέδλος,Κζαωλησλος,εΚακνβροος,ιΚτανέθ΄0ς
Νικόλαος,Βκκόλμσαοδς,κΝ8ιτόλεαος,Νιμπιδλθαος,Ννικκθ΄θαος,Νικόπηδζγος
Ρωμύλος,Φπγμύλννος,εΡγξύλοεγς,Ρσυωξηλδος,Ρωυμγβ΄οβς,ψΡωυνμύκ9ς
Φωτάς,ηεΤβρτάς,Φγυ5υάβς,κΦωρ;ξις,Φμωτσπυ2,Φωτνκζάε
Αγάθη,Ζμυξράθη,ηΑησξνθη,μηΑργζυη,Αργάκλ7θ,Αψγωφάθμ
Γιαννιώ,Ωσιξθαννιώ,Γξζζσννιιώ,σΓι;ωηενιώ,Γιψαβημυιώ,Γιαααγνξκώ
Θεονίκη,Ι4ηβονίκση,Θρδ0νίωξκη,τΘκεκξίξκη,Θσεροξτ8κη,Θκεοηνκψιη
Μαρκέλλα,Κδλσρκέολλα,Μγρζδξκέλλα,Μκταεξέλαλα,ιθΜαρμοςλλα,Μαρηκλςφολα
Ρούλα,Δ9ύλωωηα,ξΡλ7λωξα,ηντΡοηκα,Ροσωύμ.ζ,Ρομωδύλσ
