πατρίδα,-ατρίδφα,πζτρίδυα,πεαγρίδα,πθατ5ίδα,πατρθτδα,πατρρίδ;
πήρα,ν-ήρα,πυρρα,πήφρα,πήρφσ,πιήρσ,πζήρσ
πυθών,΄υθιών,πθαθών,πυ8ζών,πυθεγν,πυθώγη,οπυθώξ
πολύ,[ηολύ,π0λνύ,ψποπύ,ποξλ6,πτολ6,ποολη
πιάνο,0ιχάνο,φπθάνο,πειζνο,πιλάβο,δπιάν9,πιτάνι
ποιά,ολοιά,πκφιά,πγοκά,ποιρσ,μποι;,πσοι;
παράλειψη,οαριάλειψη,πςράλεπιψη,ξπαεάλειψη,παζρ;λειψη,θπαρά.ειψη,πχαράλεοψη
ρήμα,εήμθα,ρθγμα,ρήθκα,ρξήμ;,ρήμγσ,ρβήμς
σατυρικός,ζατυρωικός,γσστυρικός,σα5βυρικός,λσατ6ρικός,σατυεικεός,σψατυριοός
σήκω,χήκθω,σξγκω,σήλοω,σήχκφ,σήκλψ,σήεκφ
σκηνή,γδκηνή,σμηωνή,γσκβνή,σκηξπή,σκπηνυ,νσκηνγ
σορός,ςοορός,σπρωός,σοδμός,σθορλς,γσορόσ,σοξρόσ
στίχος,αθτίχος,σ6ίχωος,στκχορς,στίψδος,στίχδλς,γστίχο;
στήλη,ετήλδη,σα6ήλη,οστγλη,στήοιη,στήγλθ,στήδλξ
τείχος,5είθχος,λτςίχος,τεθγχος,τείψοτς,τζείχκς,τείπχο;
τόπι,γωόπι,τξππι,τό΄αι,ττόπ9,τιόπκ,ντόπκ
τύχη,υύθχη,τχθχη,στύζη,τούχυ,ψτύχγ,τύχαβ
τυρί,5υρσί,τδθρί,τυνφί,τυυρ8,τυρρκ,ττυρξ
φύλλο,δωύλλο,ζφηλλο,ιφύ.λο,ηφύλ΄ο,φσύλλ9,φεύλλπ
φυτό,ρκυτό,φυθτό,φυγηό,φυγτλ,φυιτλ,φδυτ0
φυλή,δυλυή,οφγλή,φυρπή,φυγλυ,φβυλξ,φυψλβ
χήρος,δήθρος,χκθρος,χκήδος,χήρπχς,χήρτοα,χήροοσ
χορικός,ζορικγός,χπζρικός,χοτικόης,ψχορθκός,χεοριοός,χοριθκόα
ψηλός,φηλόκς,ιψξλός,ψηωοός,ψηλιως,ψηλεό3,κψηλόσ
χοίρων,νζοίρων,χκίρπων,χξο9ρων,χοίεωθν,χοίρφχν,χοιίρωμ
ωράριο,βράριτο,ω5άφριο,ωφρσριο,ωρά5ειο,ωράιροο,ωηράρι0
Ααρών,Ζαρλών,Αςνρών,Αατλών,Ααρωψν,αΑαρώμ,Ααρώδξ
Βελισσάριος,οΝελισσάριος,Βσλισσάριηος,Βε.ισκσάριος,Βελ9σσάριοπς,Βελιεσγάριος,Βελωισσσριος
Εύδημος,#ύδνημος,Ε6δημοος,Εύεημοζς,ξΕύδξμος,Εύδηξεος,ξΕύδημοε
Κανέλος,Ιαννέλος,Καςνέλος,Καγβέλος,κΚανδλος,Κανκέ΄ος,Κανέδλο2
Νικόλαος,Μβικόλαος,Ν9κσόλαος,Νιονόλαος,Νβικκλαος,Νγικό.αος,βΝικόλακς
Ρωμύλος,%ωμύλνος,Ρφμύελος,Ρωνύδλος,δΡωμθλος,Ρωμτύπος,Ρωμύλβο3
Φωτάς,Δωτβάς,ιΦφτάς,Φωο5άς,πΦωτ;ς,Φωτμά3,Φμωτάσ
Αγάθη,:γάεθη,Ανφάθη,Αγ;πθη,Αγά7ξη,χΑγάθν,Αγεάθξ
Γιαννιώ,Βιανφνιώ,χΓοαννιώ,Γιςννγιώ,Γιπαηνιώ,Γιανηκιώ,Γιαννυιψ
Θεονίκη,&εοναίκη,Θδοννίκη,Θεινίψκη,Θεοηίκξη,Θιεονκκη,τΘεονίκξ
Μαρκέλλα,υΝαρκέλλα,Μζπρκέλλα,νΜα5κέλλα,Μαρμέλμλα,κΜαρκσλλα,Μαρκέλθ.α
Ρούλα,μΕούλα,Ρκγύλα,Ροηλτα,Ριού΄α,Ρούληζ,Ρούλβ;
